Zeit;Kanal A
(ms);(mV)

-23,98428479;-2,97859200
-23,97928479;-2,79281500
-23,97428479;-2,97859200
-23,96928479;-4,28211100
-23,96428479;-3,16498500
-23,95928479;-3,72354800
-23,95428479;-3,90994000
-23,94928479;-4,46850300
-23,94428479;-5,39923700
-23,93928479;-4,65428200
-23,93428479;-4,09571800
-23,92928479;-3,35137800
-23,92428479;-2,23425200
-23,91928479;-1,86146600
-23,91428479;-0,74434050
-23,90928479;0,93073320
-23,90428479;2,42002900
-23,89928479;1,67568900
-23,89428479;3,35137800
-23,88928479;5,02706700
-23,88428479;4,65428200
-23,87928479;2,79281500
-23,87428479;4,28211100
-23,86928479;2,97859200
-23,86428479;1,48929600
-23,85928480;0,74434050
-23,85428480;-0,55856290
-23,84928480;-2,97859200
-23,84428480;-2,97859200
-23,83928480;-4,09571800
-23,83428480;-3,90994000
-23,82928480;-3,90994000
-23,82428480;-3,90994000
-23,81928480;-4,28211100
-23,81428480;-3,53715500
-23,80928480;-2,79281500
-23,80428480;-2,04785900
-23,79928480;-2,42002900
-23,79428480;-0,55856290
-23,78928480;-1,11712600
-23,78428480;-0,74434050
-23,77928480;0,18577760
-23,77428480;-0,37217020
-23,76928480;0,18577760
-23,76428480;0,00000000
-23,75928480;-0,55856290
-23,75428480;-1,11712600
-23,74928480;-1,67568900
-23,74428480;-2,23425200
-23,73928480;-1,86146600
-23,73428480;-1,67568900
-23,72928480;-3,53715500
-23,72428480;-1,86146600
-23,71928480;-1,30290300
-23,71428480;-1,48929600
-23,70928480;0,55856290
-23,70428480;1,30290300
-23,69928480;2,60642200
-23,69428480;3,35137800
-23,68928480;3,90994000
-23,68428480;3,90994000
-23,67928480;4,09571800
-23,67428480;4,09571800
-23,66928480;4,84067400
-23,66428480;3,35137800
-23,65928480;3,72354800
-23,65428480;2,79281500
-23,64928480;2,04785900
-23,64428480;2,04785900
-23,63928480;1,30290300
-23,63428480;0,55856290
-23,62928480;0,93073320
-23,62428480;0,93073320
-23,61928480;0,37217020
-23,61428480;0,74434050
-23,60928480;1,30290300
-23,60428480;2,04785900
-23,59928480;3,72354800
-23,59428480;4,09571800
-23,58928480;5,21284400
-23,58428480;6,32997000
-23,57928480;7,07492600
-23,57428480;8,37844500
-23,56928480;8,75061500
-23,56428480;8,56422200
-23,55928480;9,30917700
-23,55428480;9,49557100
-23,54928480;9,49557100
-23,54428480;8,56422200
-23,53928480;7,63348900
-23,53428480;6,70275500
-23,52928480;5,95780000
-23,52428480;5,58562900
-23,51928480;4,65428200
-23,51428480;3,35137800
-23,50928480;3,35137800
-23,50428480;3,35137800
-23,49928480;2,23425200
-23,49428480;2,60642200
-23,48928480;2,97859200
-23,48428480;3,72354800
-23,47928480;3,53715500
-23,47428480;3,16498500
-23,46928480;3,53715500
-23,46428481;4,84067400
-23,45928481;4,46850300
-23,45428481;3,35137800
-23,44928481;3,53715500
-23,44428481;3,53715500
-23,43928481;2,04785900
-23,43428481;1,11712600
-23,42928481;-0,18577760
-23,42428481;-1,30290300
-23,41928481;-1,48929600
-23,41428481;-2,42002900
-23,40928481;-3,16498500
-23,40428481;-3,53715500
-23,39928481;-2,79281500
-23,39428481;-3,53715500
-23,38928481;-2,23425200
-23,38428481;-2,23425200
-23,37928481;-1,11712600
-23,37428481;-1,30290300
-23,36928481;-0,93073320
-23,36428481;0,18577760
-23,35928481;0,93073320
