Zeit;Kanal A
(ms);(mV)

-24,01874908;-13,03334000
-24,01374908;-11,91621000
-24,00874908;-11,72982000
-24,00374908;-12,47478000
-23,99874908;-12,47478000
-23,99374908;-12,84695000
-23,98874908;-11,17126000
-23,98374908;-11,35704000
-23,97874908;-11,17126000
-23,97374908;-10,98487000
-23,96874908;-10,61270000
-23,96374908;-10,23991000
-23,95874908;-10,61270000
-23,95374908;-9,68134800
-23,94874908;-10,05413000
-23,94374908;-9,12278500
-23,93874908;-9,86774200
-23,93374908;-10,05413000
-23,92874908;-9,49557100
-23,92374908;-9,12278500
-23,91874908;-9,49557100
-23,91374908;-8,93700700
-23,90874908;-8,75061500
-23,90374908;-8,75061500
-23,89874908;-8,93700700
-23,89374908;-9,12278500
-23,88874908;-8,56422200
-23,88374908;-8,56422200
-23,87874908;-8,37844500
-23,87374908;-8,56422200
-23,86874908;-8,00565900
-23,86374908;-7,81988100
-23,85874908;-8,19205200
-23,85374908;-8,19205200
-23,84874908;-8,56422200
-23,84374908;-7,63348900
-23,83874908;-8,19205200
-23,83374908;-8,56422200
-23,82874908;-8,19205200
-23,82374908;-7,26131900
-23,81874908;-8,19205200
-23,81374908;-7,81988100
-23,80874908;-8,56422200
-23,80374908;-8,19205200
-23,79874908;-7,63348900
-23,79374908;-8,00565900
-23,78874908;-7,26131900
-23,78374908;-7,63348900
-23,77874908;-7,44709600
-23,77374908;-6,88853300
-23,76874908;-7,63348900
-23,76374908;-7,07492600
-23,75874908;-7,63348900
-23,75374908;-7,44709600
-23,74874908;-7,07492600
-23,74374908;-6,51636300
-23,73874908;-6,88853300
-23,73374908;-7,81988100
-23,72874908;-6,70275500
-23,72374908;-7,07492600
-23,71874908;-6,70275500
-23,71374908;-6,88853300
-23,70874908;-6,14419300
-23,70374908;-6,88853300
-23,69874908;-6,32997000
-23,69374908;-5,95780000
-23,68874909;-6,70275500
-23,68374909;-5,77140700
-23,67874909;-6,70275500
-23,67374909;-5,95780000
-23,66874909;-5,39923700
-23,66374909;-5,58562900
-23,65874909;-5,77140700
-23,65374909;-5,95780000
-23,64874909;-5,58562900
-23,64374909;-5,21284400
-23,63874909;-5,58562900
-23,63374909;-5,39923700
-23,62874909;-5,39923700
-23,62374909;-5,02706700
-23,61874909;-4,46850300
-23,61374909;-5,02706700
-23,60874909;-4,28211100
-23,60374909;-4,65428200
-23,59874909;-4,84067400
-23,59374909;-3,90994000
-23,58874909;-4,28211100
-23,58374909;-3,72354800
-23,57874909;-3,16498500
-23,57374909;-3,16498500
-23,56874909;-3,90994000
-23,56374909;-2,97859200
-23,55874909;-2,79281500
-23,55374909;-2,60642200
-23,54874909;-3,16498500
-23,54374909;-2,60642200
-23,53874909;-2,97859200
-23,53374909;-2,04785900
-23,52874909;-1,67568900
-23,52374909;-1,30290300
-23,51874909;-1,30290300
-23,51374909;-1,11712600
-23,50874909;-0,37217020
-23,50374909;-0,55856290
-23,49874909;0,18577760
-23,49374909;-0,55856290
-23,48874909;-0,37217020
-23,48374909;-0,37217020
-23,47874909;0,18577760
-23,47374909;0,55856290
-23,46874909;-0,18577760
-23,46374909;-0,55856290
-23,45874909;0,18577760
-23,45374909;-0,74434050
-23,44874909;0,18577760
-23,44374909;0,74434050
-23,43874909;0,55856290
-23,43374909;0,55856290
-23,42874909;0,55856290
-23,42374909;0,93073320
-23,41874909;1,11712600
-23,41374909;0,74434050
-23,40874909;1,48929600
-23,40374909;1,30290300
-23,39874909;2,42002900
-23,39374909;2,23425200
-23,38874909;2,04785900
-23,38374909;2,04785900
-23,37874909;1,67568900
-23,37374909;1,48929600
-23,36874909;2,04785900
-23,36374909;2,42002900
-23,35874909;2,60642200
-23,35374909;2,04785900
-23,34874909;2,04785900
-23,34374909;2,60642200
-23,33874909;2,42002900
-23,33374909;2,60642200
-23,32874909;4,28211100
-23,32374909;2,97859200
-23,31874909;3,16498500
-23,31374909;2,60642200
-23,30874909;2,97859200
-23,30374909;3,90994000
-23,29874909;4,65428200
-23,29374910;3,72354800
-23,28874910;4,65428200
-23,28374910;3,72354800
-23,27874910;4,46850300
-23,27374910;4,28211100
-23,26874910;4,28211100
-23,26374910;5,02706700
-23,25874910;4,84067400
-23,25374910;4,84067400
-23,24874910;5,58562900
-23,24374910;5,58562900
-23,23874910;5,39923700
-23,23374910;5,58562900
-23,22874910;5,77140700
-23,22374910;6,14419300
-23,21874910;5,77140700
-23,21374910;5,77140700
-23,20874910;5,58562900
-23,20374910;6,14419300
-23,19874910;6,14419300
-23,19374910;5,58562900
-23,18874910;6,70275500
-23,18374910;6,32997000
-23,17874910;7,26131900
-23,17374910;6,70275500
-23,16874910;6,32997000
-23,16374910;6,70275500
-23,15874910;6,32997000
-23,15374910;6,14419300
-23,14874910;6,14419300
-23,14374910;6,14419300
