Zeit;Kanal A
(ms);(mV)

-24,01999908;-8,19205200
-24,01499908;-8,19205200
-24,00999908;-8,00565900
-24,00499908;-8,00565900
-23,99999908;-8,19205200
-23,99499908;-7,63348900
-23,98999908;-8,19205200
-23,98499908;-7,81988100
-23,97999908;-7,63348900
-23,97499908;-7,63348900
-23,96999908;-7,81988100
-23,96499908;-7,63348900
-23,95999908;-7,44709600
-23,95499908;-7,63348900
-23,94999908;-6,88853300
-23,94499908;-7,26131900
-23,93999908;-7,81988100
-23,93499908;-8,19205200
-23,92999908;-6,88853300
-23,92499908;-7,44709600
-23,91999908;-7,63348900
-23,91499908;-7,26131900
-23,90999908;-6,88853300
-23,90499908;-7,26131900
-23,89999908;-6,70275500
-23,89499908;-7,63348900
-23,88999908;-6,88853300
-23,88499908;-6,70275500
-23,87999908;-6,88853300
-23,87499908;-7,26131900
-23,86999908;-6,70275500
-23,86499908;-7,26131900
-23,85999908;-6,32997000
-23,85499908;-6,51636300
-23,84999908;-6,32997000
-23,84499908;-6,51636300
-23,83999908;-6,88853300
-23,83499908;-6,88853300
-23,82999908;-6,32997000
-23,82499908;-6,70275500
-23,81999908;-6,70275500
-23,81499908;-7,07492600
-23,80999908;-5,95780000
-23,80499908;-6,32997000
-23,79999908;-6,88853300
-23,79499908;-6,70275500
-23,78999908;-5,95780000
-23,78499908;-6,32997000
-23,77999908;-7,07492600
-23,77499908;-6,32997000
-23,76999908;-6,70275500
-23,76499908;-5,95780000
-23,75999908;-5,39923700
-23,75499908;-5,95780000
-23,74999908;-5,77140700
-23,74499908;-5,77140700
-23,73999908;-5,77140700
-23,73499908;-6,32997000
-23,72999908;-5,95780000
-23,72499908;-5,95780000
-23,71999908;-5,95780000
-23,71499908;-5,58562900
-23,70999908;-6,32997000
-23,70499908;-4,65428200
-23,69999908;-5,95780000
-23,69499908;-5,39923700
-23,68999909;-5,77140700
-23,68499909;-5,02706700
-23,67999909;-5,02706700
-23,67499909;-5,02706700
-23,66999909;-5,02706700
-23,66499909;-4,65428200
-23,65999909;-4,84067400
-23,65499909;-5,02706700
-23,64999909;-4,84067400
-23,64499909;-5,39923700
-23,63999909;-5,21284400
-23,63499909;-4,84067400
-23,62999909;-4,84067400
-23,62499909;-4,65428200
-23,61999909;-5,02706700
-23,61499909;-4,46850300
-23,60999909;-4,09571800
-23,60499909;-4,65428200
-23,59999909;-3,53715500
-23,59499909;-4,46850300
-23,58999909;-3,90994000
-23,58499909;-4,84067400
-23,57999909;-4,46850300
-23,57499909;-4,28211100
-23,56999909;-3,53715500
-23,56499909;-3,53715500
-23,55999909;-4,46850300
-23,55499909;-3,53715500
-23,54999909;-2,97859200
-23,54499909;-3,90994000
-23,53999909;-4,65428200
-23,53499909;-3,53715500
-23,52999909;-3,16498500
-23,52499909;-3,90994000
-23,51999909;-3,53715500
-23,51499909;-3,16498500
-23,50999909;-4,46850300
-23,50499909;-2,97859200
-23,49999909;-3,53715500
