Zeit;Kanal A
(ms);(mV)

-23,87399908;-8,00565900
-23,86899908;-7,26131900
-23,86399908;-6,88853300
-23,85899908;-7,63348900
-23,85399908;-7,26131900
-23,84899908;-7,44709600
-23,84399908;-7,63348900
-23,83899908;-7,63348900
-23,83399908;-7,63348900
-23,82899908;-7,63348900
-23,82399908;-7,81988100
-23,81899908;-8,00565900
-23,81399908;-7,07492600
-23,80899908;-8,56422200
-23,80399908;-9,30917700
-23,79899908;-7,26131900
-23,79399908;-8,19205200
-23,78899908;-8,19205200
-23,78399908;-7,63348900
-23,77899908;-7,81988100
-23,77399908;-8,75061500
-23,76899908;-9,68134800
-23,76399908;-8,75061500
-23,75899908;-7,81988100
-23,75399908;-8,56422200
-23,74899908;-8,56422200
-23,74399908;-9,49557100
-23,73899908;-8,56422200
-23,73399908;-8,75061500
-23,72899908;-8,56422200
-23,72399908;-8,00565900
-23,71899908;-9,12278500
-23,71399908;-8,93700700
-23,70899908;-8,19205200
-23,70399908;-9,12278500
-23,69899908;-8,56422200
-23,69399908;-8,19205200
-23,68899909;-8,75061500
-23,68399909;-9,12278500
-23,67899909;-7,81988100
-23,67399909;-8,19205200
-23,66899909;-8,75061500
-23,66399909;-8,75061500
-23,65899909;-8,93700700
-23,65399909;-8,56422200
-23,64899909;-9,12278500
-23,64399909;-8,56422200
-23,63899909;-9,49557100
-23,63399909;-7,81988100
-23,62899909;-9,12278500
-23,62399909;-9,30917700
-23,61899909;-8,75061500
-23,61399909;-8,75061500
-23,60899909;-8,75061500
-23,60399909;-9,30917700
-23,59899909;-9,12278500
-23,59399909;-9,30917700
-23,58899909;-9,30917700
-23,58399909;-9,12278500
-23,57899909;-9,68134800
-23,57399909;-9,12278500
-23,56899909;-9,30917700
-23,56399909;-9,12278500
-23,55899909;-8,75061500
-23,55399909;-9,12278500
-23,54899909;-9,86774200
-23,54399909;-8,93700700
-23,53899909;-9,68134800
-23,53399909;-9,30917700
-23,52899909;-9,49557100
-23,52399909;-9,12278500
-23,51899909;-10,05413000
-23,51399909;-9,49557100
-23,50899909;-9,12278500
-23,50399909;-9,68134800
-23,49899909;-10,23991000
-23,49399909;-9,68134800
-23,48899909;-10,23991000
-23,48399909;-10,05413000
-23,47899909;-9,68134800
-23,47399909;-9,12278500
-23,46899909;-10,05413000
-23,46399909;-9,86774200
-23,45899909;-10,05413000
-23,45399909;-10,05413000
-23,44899909;-9,86774200
-23,44399909;-10,42630000
-23,43899909;-10,61270000
-23,43399909;-10,05413000
-23,42899909;-10,61270000
-23,42399909;-10,61270000
-23,41899909;-10,42630000
-23,41399909;-10,23991000
-23,40899909;-10,05413000
-23,40399909;-10,42630000
-23,39899909;-10,05413000
-23,39399909;-9,86774200
-23,38899909;-10,05413000
-23,38399909;-10,61270000
-23,37899909;-10,23991000
-23,37399909;-10,42630000
-23,36899909;-10,05413000
-23,36399909;-10,98487000
-23,35899909;-10,61270000
-23,35399909;-10,61270000
-23,34899909;-10,23991000
-23,34399909;-9,49557100
-23,33899909;-9,86774200
-23,33399909;-10,98487000
-23,32899909;-10,23991000
-23,32399909;-9,68134800
-23,31899909;-10,05413000
-23,31399909;-10,42630000
-23,30899909;-10,42630000
-23,30399909;-10,23991000
-23,29899909;-10,23991000
-23,29399910;-10,98487000
-23,28899910;-9,12278500
-23,28399910;-10,98487000
-23,27899910;-10,61270000
-23,27399910;-10,42630000
-23,26899910;-10,42630000
-23,26399910;-10,42630000
-23,25899910;-10,42630000
-23,25399910;-10,79847000
-23,24899910;-11,17126000
-23,24399910;-10,61270000
-23,23899910;-10,61270000
-23,23399910;-11,17126000
-23,22899910;-10,79847000
-23,22399910;-10,98487000
-23,21899910;-10,61270000
-23,21399910;-10,79847000
-23,20899910;-10,42630000
-23,20399910;-10,05413000
-23,19899910;-10,98487000
-23,19399910;-11,72982000
-23,18899910;-10,42630000
-23,18399910;-10,23991000
-23,17899910;-10,42630000
-23,17399910;-10,61270000
-23,16899910;-10,05413000
-23,16399910;-10,05413000
-23,15899910;-10,42630000
-23,15399910;-10,42630000
-23,14899910;-9,49557100
-23,14399910;-9,49557100
-23,13899910;-9,49557100
-23,13399910;-10,05413000
-23,12899910;-9,49557100
-23,12399910;-9,30917700
-23,11899910;-9,12278500
-23,11399910;-9,49557100
-23,10899910;-8,75061500
-23,10399910;-8,56422200
-23,09899910;-8,75061500
-23,09399910;-9,30917700
-23,08899910;-8,19205200
-23,08399910;-8,75061500
-23,07899910;-8,37844500
-23,07399910;-8,37844500
-23,06899910;-8,19205200
-23,06399910;-8,37844500
-23,05899910;-8,37844500
-23,05399910;-8,56422200
-23,04899910;-8,37844500
-23,04399910;-8,19205200
-23,03899910;-8,75061500
-23,03399910;-8,75061500
-23,02899910;-8,56422200
-23,02399910;-8,75061500
-23,01899910;-9,49557100
-23,01399910;-8,56422200
-23,00899910;-9,12278500
-23,00399910;-9,12278500
-22,99899910;-9,12278500
-22,99399910;-9,68134800
-22,98899910;-8,75061500
-22,98399910;-9,12278500
-22,97899910;-9,30917700
-22,97399910;-8,93700700
-22,96899910;-9,12278500
-22,96399910;-9,30917700
-22,95899910;-9,30917700
-22,95399910;-9,30917700
-22,94899910;-9,30917700
-22,94399910;-9,12278500
-22,93899910;-9,68134800
-22,93399910;-9,30917700
-22,92899910;-8,56422200
-22,92399910;-9,49557100
-22,91899910;-9,49557100
-22,91399910;-9,49557100
-22,90899910;-9,30917700
-22,90399910;-9,30917700
-22,89899910;-9,49557100
-22,89399911;-9,49557100
-22,88899911;-9,49557100
-22,88399911;-9,49557100
-22,87899911;-9,68134800
-22,87399911;-9,68134800
-22,86899911;-9,12278500
-22,86399911;-9,12278500
-22,85899911;-9,49557100
-22,85399911;-9,86774200
-22,84899911;-8,75061500
-22,84399911;-8,75061500
-22,83899911;-8,93700700
-22,83399911;-9,12278500
-22,82899911;-7,81988100
-22,82399911;-8,19205200
-22,81899911;-8,00565900
-22,81399911;-7,26131900
-22,80899911;-7,63348900
-22,80399911;-8,00565900
-22,79899911;-7,63348900
-22,79399911;-6,70275500
-22,78899911;-7,26131900
-22,78399911;-7,63348900
-22,77899911;-7,63348900
-22,77399911;-6,88853300
-22,76899911;-6,88853300
-22,76399911;-6,32997000
-22,75899911;-6,51636300
-22,75399911;-5,95780000
-22,74899911;-6,14419300
-22,74399911;-5,77140700
-22,73899911;-5,95780000
-22,73399911;-5,02706700
-22,72899911;-5,58562900
-22,72399911;-5,39923700
-22,71899911;-5,39923700
-22,71399911;-5,02706700
-22,70899911;-5,02706700
-22,70399911;-5,39923700
-22,69899911;-5,39923700
-22,69399911;-4,46850300
-22,68899911;-4,84067400
-22,68399911;-4,46850300
-22,67899911;-4,84067400
-22,67399911;-5,39923700
-22,66899911;-4,84067400
-22,66399911;-4,46850300
-22,65899911;-4,46850300
-22,65399911;-4,09571800
-22,64899911;-3,90994000
-22,64399911;-4,09571800
-22,63899911;-4,84067400
-22,63399911;-5,02706700
-22,62899911;-4,46850300
-22,62399911;-4,84067400
-22,61899911;-4,84067400
-22,61399911;-5,21284400
-22,60899911;-4,46850300
-22,60399911;-4,28211100
-22,59899911;-4,09571800
-22,59399911;-4,84067400
-22,58899911;-5,02706700
-22,58399911;-4,09571800
-22,57899911;-4,65428200
-22,57399911;-4,84067400
-22,56899911;-4,84067400
-22,56399911;-4,46850300
-22,55899911;-4,84067400
-22,55399911;-4,09571800
-22,54899911;-4,84067400
-22,54399911;-3,90994000
-22,53899911;-3,90994000
-22,53399911;-4,65428200
-22,52899911;-4,28211100
-22,52399911;-4,46850300
-22,51899911;-4,28211100
-22,51399911;-4,46850300
-22,50899911;-4,09571800
-22,50399911;-3,53715500
-22,49899912;-4,09571800
-22,49399912;-3,90994000
-22,48899912;-4,28211100
-22,48399912;-3,90994000
-22,47899912;-3,53715500
-22,47399912;-3,16498500
-22,46899912;-3,16498500
-22,46399912;-2,97859200
-22,45899912;-3,53715500
-22,45399912;-3,53715500
-22,44899912;-2,79281500
-22,44399912;-2,97859200
-22,43899912;-2,97859200
-22,43399912;-3,16498500
-22,42899912;-3,53715500
-22,42399912;-2,23425200
-22,41899912;-2,60642200
-22,41399912;-2,79281500
-22,40899912;-2,79281500
-22,40399912;-2,42002900
-22,39899912;-1,86146600
-22,39399912;-2,23425200
-22,38899912;-2,04785900
-22,38399912;-1,48929600
-22,37899912;-1,67568900
-22,37399912;-1,11712600
-22,36899912;-1,11712600
-22,36399912;-1,67568900
-22,35899912;-1,30290300
-22,35399912;-1,11712600
-22,34899912;-1,30290300
-22,34399912;-0,37217020
-22,33899912;-0,37217020
-22,33399912;-0,55856290
-22,32899912;-0,74434050
-22,32399912;-0,18577760
-22,31899912;0,18577760
-22,31399912;-0,37217020
-22,30899912;-0,74434050
-22,30399912;1,11712600
-22,29899912;0,18577760
-22,29399912;-0,18577760
-22,28899912;0,55856290
-22,28399912;0,18577760
-22,27899912;0,93073320
-22,27399912;0,00000000
-22,26899912;0,37217020
-22,26399912;1,11712600
-22,25899912;1,86146600
-22,25399912;0,55856290
-22,24899912;0,93073320
-22,24399912;0,74434050
-22,23899912;1,67568900
-22,23399912;1,11712600
-22,22899912;0,93073320
-22,22399912;1,11712600
-22,21899912;1,48929600
-22,21399912;1,30290300
-22,20899912;0,93073320
-22,20399912;1,11712600
-22,19899912;1,86146600
-22,19399912;2,04785900
-22,18899912;0,93073320
-22,18399912;2,04785900
-22,17899912;1,86146600
-22,17399912;1,67568900
-22,16899912;1,30290300
-22,16399912;1,48929600
-22,15899912;2,04785900
-22,15399912;2,04785900
-22,14899912;1,86146600
-22,14399912;1,48929600
-22,13899912;1,86146600
-22,13399912;2,79281500
-22,12899912;2,42002900
-22,12399912;1,67568900
-22,11899912;1,67568900
-22,11399912;2,42002900
-22,10899912;1,86146600
-22,10399913;2,42002900
-22,09899913;2,04785900
-22,09399913;2,04785900
-22,08899913;2,04785900
-22,08399913;2,23425200
-22,07899913;3,72354800
-22,07399913;2,97859200
-22,06899913;2,42002900
-22,06399913;2,42002900
-22,05899913;2,79281500
-22,05399913;2,79281500
-22,04899913;2,79281500
-22,04399913;3,35137800
-22,03899913;2,60642200
-22,03399913;3,35137800
-22,02899913;2,97859200
-22,02399913;3,53715500
-22,01899913;3,53715500
-22,01399913;3,53715500
-22,00899913;3,53715500
-22,00399913;4,09571800
-21,99899913;4,09571800
-21,99399913;3,53715500
-21,98899913;4,65428200
-21,98399913;4,09571800
-21,97899913;4,65428200
-21,97399913;4,65428200
-21,96899913;4,65428200
-21,96399913;5,21284400
-21,95899913;4,28211100
-21,95399913;4,65428200
-21,94899913;5,21284400
-21,94399913;5,21284400
-21,93899913;4,09571800
-21,93399913;5,58562900
-21,92899913;5,77140700
-21,92399913;5,39923700
-21,91899913;5,95780000
-21,91399913;6,51636300
-21,90899913;6,51636300
-21,90399913;6,14419300
-21,89899913;5,77140700
-21,89399913;6,14419300
-21,88899913;6,32997000
-21,88399913;6,51636300
-21,87899913;6,51636300
-21,87399913;6,32997000
-21,86899913;5,77140700
-21,86399913;6,51636300
-21,85899913;6,51636300
-21,85399913;7,07492600
-21,84899913;6,32997000
-21,84399913;6,14419300
-21,83899913;6,32997000
-21,83399913;5,58562900
-21,82899913;6,14419300
-21,82399913;5,77140700
-21,81899913;5,77140700
-21,81399913;6,51636300
-21,80899913;6,32997000
-21,80399913;6,32997000
-21,79899913;6,14419300
-21,79399913;6,14419300
-21,78899913;6,14419300
-21,78399913;5,39923700
-21,77899913;6,88853300
-21,77399913;6,51636300
-21,76899913;6,70275500
-21,76399913;6,32997000
-21,75899913;6,88853300
-21,75399913;7,44709600
-21,74899913;6,51636300
-21,74399913;6,51636300
-21,73899913;7,07492600
-21,73399913;6,88853300
-21,72899913;6,88853300
-21,72399913;7,63348900
-21,71899913;7,07492600
-21,71399913;7,07492600
-21,70899914;7,07492600
-21,70399914;7,07492600
-21,69899914;7,26131900
-21,69399914;7,63348900
-21,68899914;7,63348900
-21,68399914;7,81988100
-21,67899914;7,07492600
